0,1,2,3,4,5,6,7
1.0,102.0,433.0,600.0,907.0,1218.0,1543.0,1919.0
11.0,102.0,433.0,600.0,906.0,1218.0,1539.0,1895.0
31.0,102.0,433.0,600.0,906.0,1217.0,1537.0,1884.0
37.0,101.0,433.0,600.0,907.0,1220.0,1550.0,1965.0
41.0,102.0,433.0,600.0,906.0,1217.0,1534.0,1872.0
42.0,100.0,433.0,600.0,907.0,1220.0,1556.0,2021.0
61.0,102.0,433.0,600.0,906.0,1218.0,1539.0,1897.0
67.0,101.0,433.0,600.0,907.0,1220.0,1555.0,2016.0
71.0,102.0,433.0,600.0,906.0,1217.0,1536.0,1880.0
91.0,102.0,433.0,600.0,906.0,1218.0,1540.0,1904.0
97.0,101.0,433.0,600.0,907.0,1221.0,1559.0,2051.0
101.0,102.0,433.0,600.0,906.0,1217.0,1537.0,1885.0
121.0,102.0,433.0,600.0,907.0,1219.0,1548.0,1950.0
131.0,102.0,433.0,600.0,906.0,1218.0,1542.0,1914.0
151.0,102.0,433.0,600.0,907.0,1219.0,1548.0,1950.0
161.0,102.0,433.0,600.0,906.0,1218.0,1542.0,1914.0
181.0,102.0,433.0,600.0,907.0,1220.0,1553.0,1993.0
191.0,102.0,433.0,600.0,906.0,1219.0,1546.0,1939.0
211.0,102.0,433.0,600.0,906.0,1218.0,1538.0,1890.0
217.0,101.0,433.0,600.0,907.0,1220.0,1552.0,1986.0
221.0,102.0,433.0,600.0,906.0,1217.0,1535.0,1875.0
222.0,100.0,433.0,600.0,907.0,1221.0,1559.0,2060.0
241.0,102.0,433.0,600.0,906.0,1218.0,1540.0,1904.0
247.0,101.0,433.0,600.0,907.0,1221.0,1559.0,2051.0
251.0,102.0,433.0,600.0,906.0,1217.0,1537.0,1885.0
271.0,102.0,433.0,600.0,906.0,1218.0,1539.0,1898.0
277.0,101.0,433.0,600.0,907.0,1220.0,1556.0,2021.0
281.0,102.0,433.0,600.0,906.0,1217.0,1536.0,1881.0
301.0,102.0,433.0,600.0,907.0,1221.0,1559.0,2049.0
311.0,102.0,433.0,600.0,906.0,1219.0,1550.0,1967.0
331.0,102.0,433.0,600.0,906.0,1217.0,1536.0,1883.0
337.0,101.0,433.0,600.0,907.0,1219.0,1549.0,1959.0
341.0,102.0,433.0,600.0,906.0,1217.0,1534.0,1870.0
342.0,100.0,433.0,600.0,907.0,1220.0,1555.0,2011.0
361.0,102.0,433.0,600.0,906.0,1218.0,1538.0,1892.0
367.0,101.0,433.0,600.0,907.0,1220.0,1553.0,1993.0
371.0,102.0,433.0,600.0,906.0,1217.0,1535.0,1877.0
372.0,100.0,433.0,600.0,907.0,1221.0,1560.0,2076.0
391.0,102.0,433.0,600.0,907.0,1219.0,1546.0,1938.0
401.0,102.0,433.0,600.0,906.0,1218.0,1541.0,1907.0
421.0,102.0,433.0,600.0,907.0,1219.0,1547.0,1944.0
431.0,102.0,433.0,600.0,906.0,1218.0,1541.0,1911.0
451.0,102.0,433.0,600.0,907.0,1219.0,1547.0,1944.0
461.0,102.0,433.0,600.0,906.0,1218.0,1541.0,1911.0
481.0,102.0,433.0,600.0,907.0,1218.0,1544.0,1926.0
491.0,102.0,433.0,600.0,906.0,1218.0,1539.0,1899.0
511.0,102.0,433.0,600.0,906.0,1218.0,1541.0,1908.0
517.0,101.0,433.0,600.0,907.0,1221.0,1561.0,2077.0
521.0,102.0,433.0,600.0,906.0,1217.0,1537.0,1888.0
541.0,102.0,433.0,600.0,906.0,1218.0,1542.0,1914.0
547.0,101.0,433.0,600.0,907.0,1221.0,1563.0,2124.0
551.0,102.0,433.0,600.0,906.0,1218.0,1538.0,1892.0
571.0,102.0,433.0,600.0,907.0,1219.0,1544.0,1927.0
581.0,102.0,433.0,600.0,906.0,1218.0,1540.0,1900.0
601.0,102.0,433.0,600.0,906.0,1218.0,1540.0,1903.0
607.0,101.0,433.0,600.0,907.0,1221.0,1558.0,2047.0
611.0,102.0,433.0,600.0,906.0,1217.0,1537.0,1885.0
631.0,102.0,433.0,600.0,907.0,1219.0,1548.0,1954.0
641.0,102.0,433.0,600.0,906.0,1218.0,1543.0,1917.0
661.0,102.0,433.0,600.0,907.0,1219.0,1544.0,1927.0
671.0,102.0,433.0,600.0,906.0,1218.0,1540.0,1900.0
691.0,102.0,433.0,600.0,907.0,1218.0,1543.0,1920.0
701.0,102.0,433.0,600.0,906.0,1218.0,1539.0,1895.0
721.0,102.0,433.0,600.0,906.0,1218.0,1542.0,1913.0
727.0,101.0,433.0,600.0,907.0,1221.0,1563.0,2109.0
731.0,102.0,433.0,600.0,906.0,1217.0,1538.0,1891.0
751.0,102.0,433.0,600.0,906.0,1218.0,1539.0,1894.0
757.0,101.0,433.0,600.0,907.0,1220.0,1554.0,2004.0
761.0,102.0,433.0,600.0,906.0,1217.0,1535.0,1878.0
762.0,100.0,433.0,600.0,907.0,1221.0,1562.0,2100.0
781.0,102.0,433.0,600.0,907.0,1219.0,1546.0,1940.0
791.0,102.0,433.0,600.0,906.0,1218.0,1541.0,1909.0
811.0,102.0,433.0,600.0,906.0,1218.0,1541.0,1909.0
817.0,101.0,433.0,600.0,907.0,1221.0,1561.0,2081.0
821.0,102.0,433.0,600.0,906.0,1217.0,1537.0,1888.0
841.0,102.0,433.0,600.0,906.0,1218.0,1540.0,1904.0
847.0,101.0,433.0,600.0,907.0,1221.0,1559.0,2053.0
851.0,102.0,433.0,600.0,906.0,1217.0,1537.0,1885.0
871.0,102.0,433.0,600.0,907.0,1220.0,1555.0,2005.0
881.0,102.0,433.0,600.0,906.0,1219.0,1547.0,1946.0
2741.0,101.0,433.0,600.0,908.0,1228.0,1613.0,3890.0
3041.0,101.0,433.0,600.0,908.0,1228.0,1610.0,3806.0
3601.0,103.0,433.0,599.0,906.0,1215.0,1526.0,1839.0
