0,1,2,3,4,5,6,7
1.0,0.0014969918902615056,0.0029881898383326702,0.0014940357061462074,0.000746220720806598,0.00037379230509651984,0.00018672763094778455,9.339312002133868e-05
11.0,0.0014976956889069836,0.0029934473747732795,0.0014962880784844257,0.0007489389456262642,0.00037386086648550856,0.00018694859839249803,9.35508659154644e-05
31.0,0.0023693419472523933,0.0047294262913726995,0.0023646174340775077,0.0011834979251787755,0.0005916960543173252,0.0002953570237475863,0.00014789492774917206
37.0,0.002355694673442351,0.004705189304503711,0.002354229622375326,0.0011760521236633447,0.0005875720139369856,0.0002938969958697942,0.0001470649212631308
41.0,0.0023704568297870632,0.004737747480329524,0.002368186852904846,0.0011851981172178194,0.0005920925575204598,0.00029610953783200893,0.00014793995541570327
42.0,0.0023443358083268012,0.004698101238859069,0.002351191965916986,0.0011747011474254965,0.0005878437461001762,0.0002935857724519209,0.00014686567178411167
61.0,0.0019353952091525142,0.0038632604341531903,0.00193155193699632,0.0009668100345993733,0.0004826451113770784,0.00024145768867287016,0.00012069848035169043
67.0,0.001924247401866741,0.0038434625889513887,0.0019230699309400927,0.0009607997196956208,0.0004807693319131647,0.00024042451965884256,0.00012008167308477259
71.0,0.0019363045743650495,0.0038700573231064874,0.0019344651206401914,0.0009681835918934456,0.0004839434124928087,0.00024175741989416148,0.00012099127740314578
91.0,0.0017640210106400782,0.0035211922941759985,0.001760525554529619,0.0008812358566214064,0.0004400901826707611,0.00022020636187266755,0.00011001808531649309
97.0,0.0017538584640861958,0.003503148174244669,0.0017527962996757866,0.0008757921480126404,0.00043764586376473824,0.00021879150411109334,0.00010950490882373712
101.0,0.0017648539219676134,0.0035273880867488752,0.00176318034757167,0.000882480136125396,0.0004412304044249774,0.00022031681697930837,0.00011023018586018318
121.0,0.0011816934263025587,0.0023588319769088663,0.001179370277862427,0.0005891301771211221,0.000294859238616892,0.0001473305099788594,7.368252019681392e-05
131.0,0.0011822500467661248,0.0023629834127356832,0.0011811484659520045,0.0005912573690203448,0.00029545140902171473,0.00014771994367780163,7.388419703533375e-05
