0,1,2,3,4,5
0.0,185.0,436.0,887.0,1815.0,4085.0
2.0,186.0,436.0,886.0,2312.0,3736.0
3.0,185.0,436.0,887.0,2081.0,3884.0
7.0,186.0,436.0,886.0,2791.0,3432.0
8.0,185.0,436.0,887.0,2084.0,3882.0
9.0,186.0,436.0,886.0,2263.0,3767.0
12.0,186.0,436.0,886.0,2611.0,3553.0
13.0,184.0,436.0,888.0,1648.0,4243.0
14.0,184.0,436.0,888.0,1615.0,4277.0
15.0,184.0,436.0,888.0,1617.0,4275.0
16.0,185.0,436.0,887.0,1743.0,4150.0
17.0,185.0,436.0,887.0,1983.0,3952.0
18.0,185.0,436.0,887.0,1877.0,4034.0
19.0,185.0,436.0,887.0,1730.0,4162.0
20.0,185.0,436.0,887.0,2100.0,3871.0
22.0,185.0,436.0,887.0,1731.0,4161.0
23.0,185.0,436.0,887.0,1807.0,4092.0
24.0,185.0,436.0,887.0,1903.0,4013.0
25.0,186.0,436.0,886.0,2446.0,3655.0
26.0,184.0,436.0,888.0,1634.0,4257.0
27.0,185.0,436.0,887.0,1971.0,3962.0
28.0,185.0,436.0,887.0,2072.0,3890.0
30.0,185.0,436.0,887.0,1961.0,4080.0
32.0,186.0,436.0,886.0,2544.0,3692.0
33.0,185.0,436.0,886.0,2265.0,3867.0
34.0,184.0,436.0,888.0,1706.0,4307.0
35.0,184.0,436.0,888.0,1706.0,4307.0
38.0,185.0,436.0,886.0,2269.0,3864.0
39.0,186.0,436.0,886.0,2482.0,3731.0
42.0,186.0,436.0,886.0,2999.0,3376.0
43.0,184.0,436.0,887.0,1774.0,4240.0
44.0,184.0,436.0,887.0,1738.0,4275.0
45.0,184.0,436.0,887.0,1740.0,4274.0
46.0,185.0,436.0,887.0,1880.0,4146.0
47.0,185.0,436.0,886.0,2152.0,3941.0
48.0,185.0,436.0,887.0,2030.0,4027.0
49.0,185.0,436.0,887.0,1865.0,4159.0
50.0,185.0,436.0,886.0,2287.0,3852.0
51.0,184.0,436.0,888.0,1684.0,4329.0
52.0,185.0,436.0,887.0,1866.0,4158.0
53.0,185.0,436.0,887.0,1952.0,4087.0
54.0,185.0,436.0,887.0,2060.0,4005.0
55.0,186.0,436.0,886.0,2721.0,3579.0
56.0,184.0,436.0,887.0,1759.0,4255.0
57.0,185.0,436.0,886.0,2137.0,3951.0
58.0,185.0,436.0,886.0,2254.0,3873.0
60.0,185.0,436.0,887.0,1895.0,4082.0
62.0,186.0,436.0,886.0,2436.0,3715.0
63.0,185.0,436.0,886.0,2181.0,3875.0
64.0,184.0,436.0,888.0,1651.0,4308.0
65.0,184.0,436.0,888.0,1651.0,4308.0
68.0,185.0,436.0,886.0,2184.0,3873.0
69.0,186.0,436.0,886.0,2381.0,3749.0
72.0,186.0,436.0,886.0,2795.0,3485.0
73.0,184.0,436.0,887.0,1717.0,4242.0
74.0,184.0,436.0,888.0,1682.0,4276.0
75.0,184.0,436.0,888.0,1684.0,4274.0
76.0,185.0,436.0,887.0,1818.0,4148.0
77.0,185.0,436.0,887.0,2075.0,3947.0
78.0,185.0,436.0,887.0,1960.0,4031.0
79.0,185.0,436.0,887.0,1804.0,4160.0
80.0,185.0,436.0,886.0,2201.0,3862.0
81.0,184.0,436.0,888.0,1631.0,4330.0
82.0,185.0,436.0,887.0,1805.0,4159.0
83.0,185.0,436.0,887.0,1886.0,4090.0
84.0,185.0,436.0,887.0,1989.0,4009.0
85.0,186.0,436.0,886.0,2590.0,3620.0
86.0,184.0,436.0,888.0,1703.0,4256.0
87.0,185.0,436.0,887.0,2061.0,3956.0
88.0,185.0,436.0,886.0,2171.0,3882.0
90.0,185.0,436.0,887.0,1866.0,4083.0
92.0,186.0,436.0,886.0,2390.0,3724.0
93.0,185.0,436.0,886.0,2144.0,3879.0
94.0,184.0,436.0,888.0,1627.0,4308.0
95.0,184.0,436.0,888.0,1627.0,4308.0
97.0,186.0,436.0,886.0,2961.0,3339.0
98.0,185.0,436.0,886.0,2147.0,3876.0
99.0,186.0,436.0,886.0,2337.0,3757.0
102.0,186.0,436.0,886.0,2723.0,3514.0
103.0,184.0,436.0,888.0,1692.0,4242.0
104.0,184.0,436.0,888.0,1657.0,4277.0
105.0,184.0,436.0,888.0,1659.0,4275.0
106.0,185.0,436.0,887.0,1791.0,4148.0
107.0,185.0,436.0,887.0,2041.0,3949.0
108.0,185.0,436.0,887.0,1930.0,4032.0
109.0,185.0,436.0,887.0,1777.0,4161.0
110.0,185.0,436.0,886.0,2164.0,3866.0
111.0,184.0,436.0,888.0,1607.0,4330.0
112.0,185.0,436.0,887.0,1778.0,4160.0
113.0,185.0,436.0,887.0,1857.0,4091.0
114.0,185.0,436.0,887.0,1957.0,4011.0
115.0,186.0,436.0,886.0,2535.0,3635.0
116.0,184.0,436.0,888.0,1678.0,4256.0
117.0,185.0,436.0,887.0,2028.0,3958.0
118.0,185.0,436.0,886.0,2134.0,3885.0
120.0,185.0,436.0,887.0,1746.0,4087.0
122.0,186.0,436.0,886.0,2208.0,3751.0
123.0,185.0,436.0,887.0,1995.0,3890.0
127.0,186.0,436.0,886.0,2614.0,3502.0
128.0,185.0,436.0,887.0,1998.0,3888.0
129.0,186.0,436.0,886.0,2163.0,3779.0
132.0,186.0,436.0,886.0,2471.0,3592.0
133.0,184.0,436.0,889.0,1587.0,4243.0
136.0,185.0,436.0,888.0,1678.0,4151.0
137.0,185.0,436.0,887.0,1904.0,3956.0
138.0,185.0,436.0,887.0,1804.0,4037.0
139.0,185.0,436.0,888.0,1665.0,4163.0
140.0,185.0,436.0,887.0,2013.0,3878.0
142.0,185.0,436.0,888.0,1666.0,4162.0
143.0,185.0,436.0,887.0,1738.0,4094.0
144.0,185.0,436.0,887.0,1829.0,4016.0
145.0,186.0,436.0,886.0,2328.0,3678.0
147.0,185.0,436.0,887.0,1892.0,3965.0
148.0,185.0,436.0,887.0,1987.0,3896.0
150.0,185.0,436.0,887.0,1746.0,4087.0
152.0,186.0,436.0,886.0,2208.0,3751.0
153.0,185.0,436.0,887.0,1995.0,3890.0
157.0,186.0,436.0,886.0,2614.0,3502.0
158.0,185.0,436.0,887.0,1998.0,3888.0
159.0,186.0,436.0,886.0,2163.0,3779.0
162.0,186.0,436.0,886.0,2471.0,3592.0
163.0,184.0,436.0,889.0,1587.0,4243.0
166.0,185.0,436.0,888.0,1678.0,4151.0
167.0,185.0,436.0,887.0,1904.0,3956.0
168.0,185.0,436.0,887.0,1804.0,4037.0
169.0,185.0,436.0,888.0,1665.0,4163.0
170.0,185.0,436.0,887.0,2013.0,3878.0
172.0,185.0,436.0,888.0,1666.0,4162.0
173.0,185.0,436.0,887.0,1738.0,4094.0
174.0,185.0,436.0,887.0,1829.0,4016.0
175.0,186.0,436.0,886.0,2328.0,3678.0
177.0,185.0,436.0,887.0,1892.0,3965.0
178.0,185.0,436.0,887.0,1987.0,3896.0
180.0,185.0,436.0,888.0,1686.0,4088.0
182.0,186.0,436.0,887.0,2121.0,3761.0
183.0,185.0,436.0,887.0,1922.0,3894.0
187.0,186.0,436.0,886.0,2483.0,3541.0
188.0,185.0,436.0,887.0,1925.0,3892.0
189.0,186.0,436.0,887.0,2079.0,3787.0
192.0,186.0,436.0,886.0,2359.0,3616.0
196.0,185.0,436.0,888.0,1621.0,4152.0
197.0,185.0,436.0,887.0,1836.0,3959.0
198.0,185.0,436.0,887.0,1741.0,4038.0
199.0,185.0,436.0,888.0,1609.0,4164.0
200.0,185.0,436.0,887.0,1938.0,3882.0
202.0,185.0,436.0,888.0,1610.0,4163.0
203.0,185.0,436.0,888.0,1678.0,4095.0
204.0,185.0,436.0,887.0,1765.0,4018.0
205.0,186.0,436.0,886.0,2231.0,3693.0
207.0,185.0,436.0,887.0,1825.0,3968.0
208.0,185.0,436.0,887.0,1914.0,3900.0
210.0,185.0,436.0,887.0,1930.0,4081.0
212.0,186.0,436.0,886.0,2492.0,3704.0
213.0,185.0,436.0,886.0,2225.0,3871.0
214.0,184.0,436.0,888.0,1680.0,4308.0
215.0,184.0,436.0,888.0,1680.0,4308.0
218.0,185.0,436.0,886.0,2228.0,3868.0
219.0,186.0,436.0,886.0,2433.0,3740.0
222.0,186.0,436.0,886.0,2891.0,3439.0
223.0,184.0,436.0,887.0,1747.0,4241.0
224.0,184.0,436.0,888.0,1711.0,4276.0
225.0,184.0,436.0,887.0,1713.0,4274.0
226.0,185.0,436.0,887.0,1851.0,4147.0
227.0,185.0,436.0,886.0,2115.0,3944.0
228.0,185.0,436.0,887.0,1997.0,4029.0
229.0,185.0,436.0,887.0,1836.0,4159.0
230.0,185.0,436.0,886.0,2246.0,3857.0
231.0,184.0,436.0,888.0,1659.0,4329.0
232.0,185.0,436.0,887.0,1837.0,4159.0
233.0,185.0,436.0,887.0,1920.0,4089.0
234.0,185.0,436.0,887.0,2026.0,4007.0
235.0,186.0,436.0,886.0,2657.0,3601.0
236.0,184.0,436.0,887.0,1732.0,4255.0
237.0,185.0,436.0,886.0,2101.0,3954.0
238.0,185.0,436.0,886.0,2215.0,3877.0
240.0,185.0,436.0,887.0,1866.0,4083.0
242.0,186.0,436.0,886.0,2391.0,3724.0
243.0,185.0,436.0,886.0,2144.0,3879.0
244.0,184.0,436.0,888.0,1628.0,4308.0
245.0,184.0,436.0,888.0,1628.0,4308.0
247.0,186.0,436.0,886.0,2963.0,3338.0
248.0,185.0,436.0,886.0,2148.0,3876.0
249.0,186.0,436.0,886.0,2337.0,3756.0
252.0,186.0,436.0,886.0,2724.0,3514.0
253.0,184.0,436.0,888.0,1692.0,4242.0
254.0,184.0,436.0,888.0,1658.0,4277.0
255.0,184.0,436.0,888.0,1660.0,4275.0
256.0,185.0,436.0,887.0,1791.0,4148.0
257.0,185.0,436.0,887.0,2042.0,3949.0
258.0,185.0,436.0,887.0,1930.0,4032.0
259.0,185.0,436.0,887.0,1777.0,4161.0
260.0,185.0,436.0,886.0,2164.0,3865.0
261.0,184.0,436.0,888.0,1608.0,4330.0
262.0,185.0,436.0,887.0,1778.0,4160.0
263.0,185.0,436.0,887.0,1857.0,4091.0
264.0,185.0,436.0,887.0,1958.0,4011.0
265.0,186.0,436.0,886.0,2536.0,3634.0
266.0,184.0,436.0,888.0,1678.0,4256.0
267.0,185.0,436.0,887.0,2029.0,3958.0
268.0,185.0,436.0,886.0,2135.0,3885.0
270.0,185.0,436.0,887.0,1890.0,4083.0
272.0,186.0,436.0,886.0,2428.0,3717.0
273.0,185.0,436.0,886.0,2174.0,3876.0
274.0,184.0,436.0,888.0,1647.0,4308.0
275.0,184.0,436.0,888.0,1647.0,4308.0
277.0,186.0,436.0,886.0,3101.0,3235.0
278.0,185.0,436.0,886.0,2177.0,3874.0
279.0,186.0,436.0,886.0,2372.0,3751.0
282.0,186.0,436.0,886.0,2780.0,2781.0
283.0,184.0,436.0,888.0,1712.0,4242.0
284.0,184.0,436.0,888.0,1678.0,4276.0
285.0,184.0,436.0,888.0,1679.0,4275.0
286.0,185.0,436.0,887.0,1813.0,4148.0
287.0,185.0,436.0,887.0,2069.0,3947.0
288.0,185.0,436.0,887.0,1955.0,4031.0
289.0,185.0,436.0,887.0,1799.0,4160.0
