0,1,2,3,4,5,6,7
1.0,187.0,436.0,886.0,1244.0,1582.0,1935.0,2391.0
11.0,187.0,436.0,886.0,1244.0,1580.0,1924.0,2329.0
31.0,187.0,436.0,886.0,1244.0,1579.0,1919.0,2305.0
37.0,186.0,436.0,886.0,1245.0,1585.0,1953.0,2569.0
41.0,187.0,436.0,886.0,1244.0,1578.0,1912.0,2277.0
61.0,187.0,436.0,886.0,1244.0,1580.0,1925.0,2334.0
67.0,186.0,436.0,886.0,1245.0,1588.0,1970.0,3900.0
71.0,187.0,436.0,886.0,1244.0,1578.0,1917.0,2296.0
91.0,187.0,436.0,886.0,1244.0,1581.0,1928.0,2352.0
101.0,187.0,436.0,886.0,1244.0,1579.0,1919.0,2306.0
121.0,187.0,436.0,886.0,1245.0,1584.0,1948.0,2488.0
131.0,187.0,436.0,886.0,1244.0,1582.0,1933.0,2377.0
151.0,187.0,436.0,886.0,1245.0,1584.0,1948.0,2488.0
161.0,187.0,436.0,886.0,1244.0,1582.0,1933.0,2377.0
181.0,187.0,436.0,886.0,1245.0,1587.0,1964.0,2724.0
191.0,187.0,436.0,886.0,1245.0,1584.0,1944.0,2450.0
211.0,187.0,436.0,886.0,1244.0,1579.0,1921.0,2318.0
217.0,186.0,436.0,886.0,1245.0,1586.0,1960.0,2716.0
221.0,187.0,436.0,886.0,1244.0,1578.0,1914.0,2285.0
241.0,187.0,436.0,886.0,1244.0,1581.0,1928.0,2351.0
251.0,187.0,436.0,886.0,1244.0,1579.0,1919.0,2306.0
271.0,187.0,436.0,886.0,1244.0,1580.0,1925.0,2337.0
281.0,187.0,436.0,886.0,1244.0,1579.0,1917.0,2298.0
301.0,187.0,436.0,886.0,1245.0,1590.0,1980.0,3855.0
311.0,187.0,436.0,886.0,1245.0,1586.0,1955.0,2553.0
331.0,187.0,436.0,886.0,1244.0,1579.0,1918.0,2302.0
337.0,186.0,436.0,886.0,1245.0,1585.0,1951.0,2540.0
341.0,187.0,436.0,886.0,1244.0,1577.0,1912.0,2275.0
361.0,187.0,436.0,886.0,1244.0,1580.0,1922.0,2322.0
