0,1,2,3,4,5
0.0,3.328233767826679e-05,6.649669006673561e-05,3.325452438045218e-05,9.433330378748328e-06,2.6517497653505417e-05
2.0,3.356246960323607e-05,6.707087545369458e-05,3.355772607913088e-05,4.609041578118589e-06,6.14796558437436e-06
3.0,3.3359735521595185e-05,6.684560258137656e-05,3.3396166604519884e-05,6.3478883724696344e-06,1.112120456248089e-05
7.0,3.362687722757241e-05,6.736031913747234e-05,3.3695129038086025e-05,2.7223979903526208e-06,2.7978885270563136e-06
8.0,3.336059967770687e-05,6.684950607028714e-05,3.339786993637045e-05,6.315926172659192e-06,1.10098869840064e-05
9.0,3.355284995007566e-05,6.702773453127683e-05,3.353781904356229e-05,4.924553886197225e-06,6.899326076004186e-06
12.0,3.36082952619764e-05,6.727671141628158e-05,3.3654853735833046e-05,3.22599507196486e-06,3.5154766541839466e-06
13.0,3.306739946412618e-05,6.621046883643553e-05,3.310255589668992e-05,1.223520581129095e-05,5.16805392171138e-05
14.0,3.305327127459774e-05,6.614654700893771e-05,3.308588421443298e-05,1.2885850794445985e-05,5.965478107175515e-05
15.0,3.3054031965677744e-05,6.614998622187993e-05,3.3086736275958484e-05,1.2850670470535008e-05,5.919922624481044e-05
16.0,3.3256457438649197e-05,6.638033860069045e-05,3.321341160242991e-05,1.0547901464541543e-05,3.495187656225862e-05
17.0,3.333419763538754e-05,6.67303128711362e-05,3.334687561090677e-05,7.319533471980555e-06,1.492052482732209e-05
18.0,3.330244518797744e-05,6.658718889555881e-05,3.328892102252151e-05,8.59332358735948e-06,2.12912591063541e-05
19.0,3.3251436773189e-05,6.635779297494218e-05,3.320589997225093e-05,1.0768022384970155e-05,3.684470274921414e-05
20.0,3.336438951590014e-05,6.686663072153279e-05,3.340536892348922e-05,6.176346778352659e-06,1.0533321022770936e-05
22.0,3.3251792829641115e-05,6.635939412817302e-05,3.32064272742863e-05,1.0752370061692385e-05,3.670745091412242e-05
23.0,3.327941411384629e-05,6.648352942939875e-05,3.324969180748538e-05,9.55747753751679e-06,2.736791887918144e-05
24.0,3.331074324859282e-05,6.662456311965284e-05,3.3303665105850755e-05,8.253955625245335e-06,1.9422739383156973e-05
25.0,3.3585384287668565e-05,6.717374255658937e-05,3.3605859277731354e-05,3.892206701702761e-06,4.6565455817104695e-06
26.0,3.306167053853748e-05,6.61845436085648e-05,3.309558526384121e-05,1.2498177902844909e-05,5.479091876806064e-05
27.0,3.3330604755070926e-05,6.671410392368113e-05,3.3340118909229444e-05,7.4601941708607455e-06,1.554169980294562e-05
